True_Label,Predicted_Label,Prediction_Probability
0,1,0.52450037
0,1,0.5370306
0,1,0.5616702
0,1,0.575476
0,1,0.5128101
0,1,0.6012281
0,1,0.61131716
0,1,0.51456034
0,1,0.5204567
0,1,0.5816482
0,1,0.5574255
0,1,0.59821427
0,1,0.51604223
0,1,0.5534967
0,1,0.63968766
0,1,0.5110109
0,1,0.58843774
0,1,0.5303683
0,1,0.5812151
0,1,0.5770967
0,1,0.5639488
0,1,0.5556114
0,1,0.51543844
0,1,0.52493536
0,1,0.5837518
0,1,0.5223333
0,1,0.6094675
0,1,0.58614117
0,1,0.54484874
0,1,0.5836053
0,1,0.51698136
0,0,0.47674465
0,1,0.50854725
0,1,0.56408924
0,1,0.52404296
0,1,0.56145847
0,1,0.60725075
0,1,0.5568302
0,1,0.5614
0,1,0.53172314
0,1,0.52977437
0,1,0.52817005
0,0,0.48529527
0,1,0.5378714
0,1,0.5674968
0,0,0.4944722
0,1,0.57615864
0,0,0.4401674
0,1,0.5601104
0,1,0.56306976
0,1,0.5242014
0,1,0.5482324
0,1,0.50063884
0,1,0.5478125
0,1,0.5400549
0,1,0.5835225
0,1,0.503575
0,0,0.46812317
0,1,0.5589923
0,1,0.5735956
0,0,0.49066013
0,1,0.58423954
0,0,0.49556178
0,1,0.61311734
0,1,0.5895657
0,1,0.5866083
0,1,0.5662968
0,1,0.6458257
0,1,0.5278127
0,1,0.5705615
0,1,0.55076975
0,1,0.62785196
0,1,0.5145428
0,1,0.5591801
0,1,0.52762246
0,1,0.594886
0,1,0.5974138
0,1,0.5527457
0,1,0.57081366
0,1,0.52249783
0,1,0.59121394
0,0,0.48330173
0,1,0.5916403
0,1,0.5838935
0,1,0.5426735
0,1,0.5235074
0,1,0.65095013
0,1,0.56055033
0,1,0.60945076
0,1,0.6386301
0,1,0.5591835
0,1,0.58961684
0,0,0.4530213
0,1,0.5981635
0,0,0.4899703
0,1,0.674764
0,1,0.6359688
0,0,0.47428688
0,1,0.5470668
0,1,0.57843876
0,1,0.63328964
0,1,0.64319617
0,1,0.5248256
0,1,0.51110125
0,1,0.63899016
0,1,0.54890287
0,1,0.5091548
0,1,0.60690033
0,1,0.5451795
0,1,0.50688076
0,1,0.5948628
0,1,0.51853263
0,0,0.49301195
0,1,0.6178007
0,1,0.53238
0,1,0.6453838
0,1,0.6239156
0,0,0.45434716
0,1,0.5416494
0,1,0.54106355
0,1,0.55167234
0,1,0.5326469
0,1,0.5518648
0,1,0.5760295
0,1,0.61904347
0,1,0.56089205
0,1,0.6404871
0,1,0.6146313
0,1,0.587601
0,1,0.5857793
0,1,0.554886
0,1,0.56669337
0,1,0.5422015
0,1,0.53880584
0,0,0.49825245
0,1,0.51581573
0,1,0.51252186
0,1,0.509866
0,1,0.50877875
0,0,0.46681407
0,1,0.5466252
0,1,0.5290365
0,1,0.5787719
0,1,0.5777315
0,1,0.5106009
0,1,0.5105355
0,1,0.57456666
0,1,0.5309474
0,1,0.61088413
0,0,0.4920479
0,0,0.4706542
0,1,0.6341913
0,1,0.5880547
0,1,0.58135545
0,1,0.55498505
0,1,0.5585779
0,1,0.5823527
0,0,0.48299423
0,1,0.5717792
0,0,0.49783197
0,1,0.5388828
0,1,0.616358
0,1,0.545696
0,0,0.4778137
0,1,0.5461436
0,1,0.63899016
0,0,0.49598652
0,1,0.58295983
0,1,0.54411596
0,1,0.5009344
0,1,0.5322334
0,1,0.61499816
0,1,0.5623455
0,1,0.5290929
0,1,0.5579375
0,0,0.43253666
0,1,0.58708495
0,1,0.5526483
0,1,0.5578142
0,0,0.48033342
0,1,0.57701796
0,1,0.58082217
0,1,0.52707285
0,1,0.5233843
0,1,0.5346839
0,1,0.533848
0,1,0.55469805
0,1,0.57542205
0,1,0.5274891
0,1,0.5637401
0,1,0.514931
0,1,0.5444354
0,1,0.5497667
0,1,0.5180878
0,1,0.5911014
0,1,0.5616815
0,1,0.54373866
0,1,0.56624323
0,1,0.62381077
0,1,0.66347903
0,1,0.5631598
0,1,0.5620249
0,0,0.46336147
0,1,0.5522286
0,1,0.5658824
0,1,0.5411382
0,1,0.53398055
0,1,0.5060005
0,1,0.54474837
0,1,0.6631361
0,0,0.46530738
0,1,0.5637055
0,1,0.501801
0,1,0.51362354
0,1,0.5356185
0,1,0.52769685
0,1,0.5349306
0,1,0.646274
0,1,0.5593195
0,0,0.4974239
0,1,0.56663173
0,1,0.5796831
0,1,0.5680678
0,1,0.57554716
0,1,0.5830015
0,1,0.5154151
0,1,0.60237855
0,0,0.49950328
0,1,0.51750857
0,1,0.6393812
0,0,0.49533492
0,1,0.53956914
0,1,0.50152326
0,1,0.5290014
0,1,0.5821822
0,1,0.67367166
0,1,0.5769269
0,1,0.55558145
0,1,0.5722917
0,1,0.529498
0,1,0.5567472
0,1,0.563516
0,0,0.4981516
0,1,0.5195651
0,1,0.5496983
0,1,0.5333555
0,1,0.60764116
0,1,0.565649
0,1,0.5592464
0,1,0.50803626
0,1,0.61399436
0,1,0.53214693
0,1,0.51395655
0,1,0.5350811
0,0,0.48531896
0,1,0.53284514
0,1,0.5972488
0,1,0.55750245
0,1,0.5747991
0,1,0.6607786
0,1,0.51698107
0,1,0.554902
0,1,0.56023467
0,0,0.49748877
0,1,0.50381124
0,1,0.59563196
0,1,0.5417328
0,1,0.56677556
0,1,0.651905
